"theme","resourceClass","resourceType","access","language","references"
"Farming","Datasets","LiDAR","Public","aar","http://www.opengis.net/def/serviceType/ogc/wms"
"Biota","Maps","Line data","Restricted","abk","http://www.opengis.net/def/serviceType/ogc/wfs"
"Boundaries","Imagery","Mesh data",,"afr","http://iiif.io/api/image"
"Climatology, Meteorology and Atmosphere","Collections","Multi-spectral data",,"amh","http://iiif.io/api/presentation#manifest"
"Economy","Websites","Oblique photographs",,"arg","http://schema.org/downloadUrl"
"Elevation","Web services","Point cloud data",,"hye","http://lccn.loc.gov/sh85035852"
"Environment",,"Point data",,"asm","http://schema.org/url"
"Geoscientific Information",,"Polygon data",,"ava","http://www.isotc211.org/schemas/2005/gmd/"
"Health",,"Raster data",,"ave","http://www.opengis.net/cat/csw/csdgm"
"Imagery and Base Maps",,"Satellite imagery",,"bak","http://www.loc.gov/mods/v3"
"Intelligence and Military",,"Table data",,"bam","http://www.w3.org/1999/xhtml"
"Inland Waters",,"Aerial photographs",,"eus","urn:x-esri:serviceType:ArcGIS#FeatureLayer"
"Location",,"Aerial views",,"bel","urn:x-esri:serviceType:ArcGIS#TiledMapLayer"
"Oceans",,"Aeronautical charts",,"ben","urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"
"Planning and Cadastral",,"Armillary spheres",,"bis","urn:x-esri:serviceType:ArcGIS#ImageMapLayer"
"Society",,"Astronautical charts",,"bod","http://schema.org/DownloadAction"
"Structure",,"Astronomical models",,"bos","https://openindexmaps.org"
"Transportation",,"Atlases",,"bre",
"Utilities and Communications",,"Bathymetric maps",,"bul",
,,"Block diagrams",,"mya",
,,"Bottle-charts",,"cat",
,,"Cadastral maps",,"ces",
,,"Cartographic materials",,"cha",
,,"Cartographic materials for people with visual disabilities",,"che",
,,"Celestial charts",,"chu",
,,"Celestial globes",,"chv",
,,"Census data",,"cor",
,,"Children's atlases",,"cos",
,,"Children's maps",,"cym",
,,"Comparative maps",,"ces",
,,"Composite atlases",,"dan",
,,"Digital elevation models",,"deu",
,,"Digital maps",,"div",
,,"Early maps",,"nld",
,,"Ephemerides",,"dzo",
,,"Ethnographic maps",,"ell",
,,"Fire insurance maps",,"eng",
,,"Flow maps",,"epo",
,,"Gazetteers",,"eus",
,,"Geological cross-sections",,"ewe",
,,"Geological maps",,"fao",
,,"Globes",,"fij",
,,"Gores (Maps)",,"fin",
,,"Gravity anomaly maps",,"fra",
,,"Index maps",,"fra",
,,"Linguistic atlases",,"fry",
,,"Loran charts",,"kat",
,,"Manuscript maps",,"deu",
,,"Mappae mundi",,"gla",
,,"Mental maps",,"gle",
,,"Meteorological charts",,"glg",
,,"Military maps",,"glv",
,,"Mine maps",,"ell",
,,"Miniature maps",,"guj",
,,"Nautical charts",,"hat",
,,"Outline maps",,"hau",
,,"Photogrammetric maps",,"heb",
,,"Photomaps",,"her",
,,"Physical maps",,"hin",
,,"Pictorial maps",,"hmo",
,,"Plotting charts",,"hrv",
,,"Portolan charts",,"hun",
,,"Quadrangle maps",,"hye",
,,"Relief models",,"ibo",
,,"Remote-sensing maps",,"isl",
,,"Road maps",,"ido",
,,"Statistical maps",,"iii",
,,"Stick charts",,"ile",
,,"Strip maps",,"ina",
,,"Thematic maps",,"ind",
,,"Topographic maps",,"isl",
,,"Tourist maps",,"ita",
,,"Upside-down maps",,"jav",
,,"Wall maps",,"jpn",
,,"World atlases",,"kal",
,,"World maps",,"kan",
,,"Worm's-eye views",,"kas",
,,"Zoning maps",,"kat",
,,,,"kaz",
,,,,"khm",
,,,,"kik",
,,,,"kin",
,,,,"kir",
,,,,"kor",
,,,,"kua",
,,,,"lao",
,,,,"lat",
,,,,"lim",
,,,,"lin",
,,,,"lit",
,,,,"ltz",
,,,,"lub",
,,,,"lug",
,,,,"mkd",
,,,,"mah",
,,,,"mal",
,,,,"mri",
,,,,"mar",
,,,,"mkd",
,,,,"mlt",
,,,,"mri",
,,,,"mya",
,,,,"nau",
,,,,"nav",
,,,,"nbl",
,,,,"nde",
,,,,"ndo",
,,,,"nld",
,,,,"nno",
,,,,"nob",
,,,,"nya",
,,,,"oci",
,,,,"oss",
,,,,"pan",
,,,,"pli",
,,,,"pol",
,,,,"por",
,,,,"roh",
,,,,"ron",
,,,,"ron",
,,,,"run",
,,,,"rus",
,,,,"sag",
,,,,"san",
,,,,"sin",
,,,,"slk",
,,,,"slk",
,,,,"slv",
,,,,"sme",
,,,,"smo",
,,,,"sna",
,,,,"snd",
,,,,"som",
,,,,"sot",
,,,,"spa",
,,,,"srp",
,,,,"ssw",
,,,,"sun",
,,,,"swe",
,,,,"tah",
,,,,"tam",
,,,,"tat",
,,,,"tel",
,,,,"tgk",
,,,,"tgl",
,,,,"tha",
,,,,"bod",
,,,,"tir",
,,,,"ton",
,,,,"tsn",
,,,,"tso",
,,,,"tuk",
,,,,"tur",
,,,,"twi",
,,,,"uig",
,,,,"ukr",
,,,,"urd",
,,,,"ven",
,,,,"vie",
,,,,"vol",
,,,,"cym",
,,,,"wln",
,,,,"wol",
,,,,"xho",
,,,,"yor",
,,,,"zul",
